District.Code,District.Name,Neighborhood.Code,Neighborhood.Name
1,Ciutat Vella,1,el Raval
1,Ciutat Vella,2,el Barri Gòtic
1,Ciutat Vella,3,la Barceloneta
1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera"
2,Eixample,5,el Fort Pienc
2,Eixample,6,la Sagrada Família
2,Eixample,7,la Dreta de l'Eixample
2,Eixample,8,l'Antiga Esquerra de l'Eixample
2,Eixample,9,la Nova Esquerra de l'Eixample
2,Eixample,10,Sant Antoni
3,Sants-Montjuïc,11,el Poble Sec
3,Sants-Montjuïc,12,la Marina del Prat Vermell
3,Sants-Montjuïc,13,la Marina de Port
3,Sants-Montjuïc,14,la Font de la Guatlla
3,Sants-Montjuïc,15,Hostafrancs
3,Sants-Montjuïc,16,la Bordeta
3,Sants-Montjuïc,17,Sants - Badal
3,Sants-Montjuïc,18,Sants
4,Les Corts,19,les Corts
4,Les Corts,20,la Maternitat i Sant Ramon
4,Les Corts,21,Pedralbes
5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes"
5,Sarrià-Sant Gervasi,23,Sarrià
5,Sarrià-Sant Gervasi,24,les Tres Torres
5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova
5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany
5,Sarrià-Sant Gervasi,27,el Putxet i el Farró
6,Gràcia,28,Vallcarca i els Penitents
6,Gràcia,29,el Coll
6,Gràcia,30,la Salut
6,Gràcia,31,la Vila de Gràcia
6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova
7,Horta-Guinardó,33,el Baix Guinardó
7,Horta-Guinardó,34,Can Baró
7,Horta-Guinardó,35,el Guinardó
7,Horta-Guinardó,36,la Font d'en Fargues
7,Horta-Guinardó,37,el Carmel
7,Horta-Guinardó,38,la Teixonera
7,Horta-Guinardó,39,Sant Genís dels Agudells
7,Horta-Guinardó,40,Montbau
7,Horta-Guinardó,41,la Vall d'Hebron
7,Horta-Guinardó,42,la Clota
7,Horta-Guinardó,43,Horta
8,Nou Barris,44,Vilapicina i la Torre Llobeta
8,Nou Barris,45,Porta
8,Nou Barris,46,el Turó de la Peira
8,Nou Barris,47,Can Peguera
8,Nou Barris,48,la Guineueta
8,Nou Barris,49,Canyelles
8,Nou Barris,50,les Roquetes
8,Nou Barris,51,Verdun
8,Nou Barris,52,la Prosperitat
8,Nou Barris,53,la Trinitat Nova
8,Nou Barris,54,Torre Baró
8,Nou Barris,55,Ciutat Meridiana
8,Nou Barris,56,Vallbona
9,Sant Andreu,57,la Trinitat Vella
9,Sant Andreu,58,Baró de Viver
9,Sant Andreu,59,el Bon Pastor
9,Sant Andreu,60,Sant Andreu
9,Sant Andreu,61,la Sagrera
9,Sant Andreu,62,el Congrés i els Indians
9,Sant Andreu,63,Navas
10,Sant Martí,64,el Camp de l'Arpa del Clot
10,Sant Martí,65,el Clot
10,Sant Martí,66,el Parc i la Llacuna del Poblenou
10,Sant Martí,67,la Vila Olímpica del Poblenou
10,Sant Martí,68,el Poblenou
10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou
10,Sant Martí,70,el Besòs i el Maresme
10,Sant Martí,71,Provençals del Poblenou
10,Sant Martí,72,Sant Martí de Provençals
10,Sant Martí,73,la Verneda i la Pau
